SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RBIRTH2021,RBIRTH2022,RBIRTH2023,RDEATH2021,RDEATH2022,RDEATH2023,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RNETMIG2021,RNETMIG2022,RNETMIG2023
030,3,7,00,West South Central,40774145,40865965,41208410,41683546,42198606,91820,342445,475136,515060,121911,504346,524984,530342,89367,418276,410652,364314,32544,86070,114332,166028,2416,50192,134300,150284,54122,207473,222502,198768,56538,257665,356802,349052,2738,-1290,4002,-20,12.289974794,12.666705561,12.644930712,10.192608838,9.9081266703,8.6863293636,2.0973659562,2.7585788903,3.9586013482,1.2230857682,3.2403626716,3.5832175598,5.0557314631,5.3684823169,4.739220329,6.2788172313,8.6088449885,8.3224378888
020,4,0,00,West Region,78594982,78661381,78602026,78759506,78896805,66399,-59355,157480,137299,209683,836931,855985,840406,158192,710778,705346,654744,51491,126153,150639,185662,3447,85029,237471,248190,8642,-261754,-224617,-297237,12089,-176725,12854,-49047,2819,-8783,-6013,684,10.643683944,10.879215385,10.661241465,9.0393310632,8.9646559872,8.305966261,1.6043528804,1.9145593982,2.3552752037,1.0813577249,3.0181582116,3.1484943219,-3.328860858,-2.854789187,-3.770695865,-2.247503133,0.1633690246,-0.622201543
030,4,8,00,Mountain,24925576,25004426,25277400,25522359,25716830,78850,272974,244959,194471,68922,277182,282566,280284,54872,241248,250269,222699,14050,35934,32297,57585,1032,21392,58125,57354,64772,215203,153301,79197,65804,236595,211426,136551,-1004,445,1236,335,11.025136597,11.124698446,10.940219995,9.595832896,9.8531569805,8.6925263396,1.4293037011,1.2715414654,2.2476936549,0.8508839755,2.2883966831,2.2386771188,8.5598721097,6.0355010739,3.0912667256,9.4107560851,8.3238977571,5.3299438443
030,4,9,00,Pacific,53669406,53656955,53324626,53237147,53179975,-12451,-332329,-87479,-57172,140761,559749,573419,560122,103320,469530,455077,432045,37441,90219,118342,128077,2415,63637,179346,190836,-56130,-476957,-377918,-376434,-53715,-413320,-198572,-185598,3823,-9228,-7249,349,10.464399475,10.762189552,10.52691502,8.7777726897,8.5410928739,8.1198399633,1.6866267848,2.2210966779,2.407075057,1.1896814275,3.3660475976,3.5865657032,-8.916619021,-7.09293754,-7.074688601,-7.726937593,-3.726889942,-3.488122898
040,3,6,01,Alabama,5024294,5031864,5050380,5073903,5108468,7570,18516,23523,34565,13867,57184,58106,58251,15165,69135,67208,59813,-1298,-11951,-9102,-1562,125,1806,4374,5384,9615,27715,28464,30744,9740,29521,32838,36128,-872,946,-213,-1,11.343506465,11.478541246,11.4415395,13.714208861,13.276594501,11.748344271,-2.370702395,-1.798053255,-0.306804771,0.3582535793,0.8640611883,1.0575140112,5.4977840251,5.6229167043,6.0386721325,5.8560376043,6.4869778927,7.0961861437
040,4,9,02,Alaska,733374,732964,734923,733276,733406,-410,1959,-1647,130,2406,9453,9356,9266,1171,5330,6340,5581,1235,4123,3016,3685,63,873,2356,2004,-1663,-2948,-7202,-5543,-1600,-2075,-4846,-3539,-45,-89,183,-16,12.879738018,12.744866329,12.635322449,7.2621393881,8.6364314374,7.6103749824,5.6175986299,4.108434892,5.0249474665,1.1894648566,3.2093742061,2.7326987036,-4.016657958,-9.810659182,-7.558557342,-2.827193101,-6.601284976,-4.825858639
040,4,8,04,Arizona,7157902,7186683,7272487,7365684,7431344,28781,85804,93197,65660,18110,75693,79137,78494,18025,80276,79807,70792,85,-4583,-670,7702,253,8010,22296,21635,29980,82290,69798,36179,30233,90300,92094,57814,-1537,87,1773,144,10.469895575,10.812416387,10.609427785,11.103818546,10.903957878,9.5684079262,-0.633922971,-0.091541491,1.0410198589,1.1079474133,3.0462822165,2.9242358668,11.382396085,9.5364373049,4.8900360262,12.490343498,12.582719521,7.814271893
040,3,7,05,Arkansas,3011490,3014348,3028443,3046404,3067732,2858,14095,17961,21328,8509,34927,36298,35566,8475,40180,40362,36473,34,-5253,-4064,-907,94,1346,3215,4096,2537,17806,18841,18106,2631,19152,22056,22202,193,196,-31,33,11.559890124,11.950259817,11.634023188,13.298490714,13.288235901,11.930712696,-1.73860059,-1.337976084,-0.296689508,0.4454895097,1.0584628716,1.3398458916,5.8933032766,6.2029545765,5.9226683868,6.3387927863,7.261417448,7.2625142784
040,4,9,06,California,39538212,39503200,39145060,39040616,38965193,-35012,-358140,-104444,-75423,103133,412506,423922,414120,74587,345181,318145,302704,28546,67325,105777,111416,1383,44116,126517,150982,-67932,-458862,-332785,-338371,-66549,-414746,-206268,-187389,2991,-10719,-3953,550,10.489895136,10.843981192,10.617670794,8.7778420018,8.1381914508,7.7610630254,1.7120531338,2.7057897408,2.8566077688,1.1218557156,3.2363217017,3.8710450397,-11.66871333,-8.5126846,-8.675533382,-10.54685762,-5.276362898,-4.804488343
040,4,8,08,Colorado,5773707,5785219,5811596,5841039,5877610,11512,26377,29443,36571,15593,62137,62682,62498,11914,46481,49599,45099,3679,15656,13083,17399,244,3913,10413,11931,7169,5404,6772,7236,7413,9317,17185,19167,420,1404,-825,5,10.716218203,10.758425026,10.666417264,8.0161665078,8.51292433,7.6969623376,2.7000516952,2.2455006958,2.9694549261,0.6748404627,1.7872352476,2.0362415497,0.9319800307,1.1623122152,1.2349546437,1.6068204934,2.9495474629,3.2711961933
040,1,1,09,Connecticut,3605912,3577586,3603691,3608706,3617176,-28326,26105,5015,8470,8465,33942,35572,34957,11938,34571,34833,32842,-3473,-629,739,2115,410,6217,15562,15264,-21420,19032,-10081,-9016,-21010,25249,5481,6248,-3843,1485,-1205,107,9.4529148507,9.8641270024,9.6754970535,9.628092608,9.6592020656,9.0901013883,-0.175177757,0.2049249369,0.5853956652,1.7314469279,4.3153475883,4.2248129709,5.3004500453,-2.795464531,-2.495473909,7.0318969732,1.5198830569,1.729339062
040,3,5,10,Delaware,989946,991862,1004881,1019459,1031890,1916,13019,14578,12431,2579,10174,10883,10725,2959,11228,11488,10897,-380,-1054,-605,-172,62,939,2378,2277,2195,13284,12669,10320,2257,14223,15047,12597,39,-150,136,6,10.190595385,10.752146379,10.456533725,11.246314623,11.349872057,10.624228252,-1.055719239,-0.597725678,-0.167694527,0.9405316558,2.3494077082,2.2200025447,13.305668281,12.516672101,10.061671612,14.246199937,14.866079809,12.281674157
040,3,5,11,District of Columbia,689548,670839,669037,670949,678972,-18709,-1802,1912,8023,2187,8508,8399,7627,2004,5837,5572,5020,183,2671,2827,2607,50,1745,4527,6969,-15475,-6551,-4917,-1509,-15425,-4806,-390,5460,-3467,333,-525,-44,12.699682657,12.535951868,11.299920514,8.7127465527,8.3165047993,7.4374722669,3.9869361045,4.2194470688,3.862448247,2.6047186456,6.7567870112,10.325048651,-9.778516818,-7.338882645,-2.235686385,-7.173798172,-0.582095634,8.0893622664
040,3,5,12,Florida,21538216,21591299,21830708,22245521,22610726,53083,239409,414813,365205,50294,207942,222003,223578,56383,250389,260220,231181,-6089,-42447,-38217,-7603,2840,46865,121233,178432,61782,244619,317923,194438,64622,291484,439156,372870,-5450,-9628,13874,-62,9.5777240329,10.073593183,9.968644947,11.532815607,11.807725203,10.307638978,-1.955091574,-1.734132019,-0.338994031,2.1585828587,5.5010604469,7.9557257655,11.267051751,14.426052646,8.6693833303,13.42563461,19.927113093,16.625109096
040,3,5,13,Georgia,10713771,10732390,10790385,10913150,11029227,18619,57995,122765,116077,29847,121276,125599,125664,24771,109501,110380,97847,5076,11775,15219,27817,730,10161,27010,30119,11606,35341,80599,58206,12336,45502,107609,88325,1207,718,-63,-65,11.269550511,11.574059249,11.454000631,10.175360752,10.171614901,8.9185415053,1.0941897595,1.4024443484,2.5354591255,0.9442090994,2.4889954563,2.7452814251,3.2840560755,7.4272693365,5.3053504641,4.2282651749,9.9162647928,8.0506318892
040,4,9,15,Hawaii,1455274,1451181,1446745,1439399,1435138,-4093,-4436,-7346,-4261,3836,15528,15746,15167,2843,12152,13375,12812,993,3376,2371,2355,119,2043,5917,4627,-4831,-9982,-15664,-11193,-4712,-7939,-9747,-6566,-374,127,30,-50,10.716629755,10.911444474,10.552655958,8.3866875828,9.2684218112,8.9141312149,2.3299421724,1.6430226628,1.6385247433,1.4099738917,4.1002805127,3.2193010561,-6.8890648,-10.85462125,-7.787688939,-5.479090908,-6.75434074,-4.568387883
040,4,8,16,Idaho,1839117,1849339,1904537,1938996,1964726,10222,55198,34459,25730,5467,21850,22418,22456,3629,17141,18938,16817,1838,4709,3480,5639,58,698,1779,4664,8814,51524,28586,15389,8872,52222,30365,20053,-488,-1733,614,38,11.641300885,11.665308975,11.504917615,9.1324273897,9.8544750364,8.6158799218,2.508873495,1.8108339385,2.8890376927,0.3718822891,0.9257107979,2.3895144173,27.451093217,14.874856024,7.8842704475,27.822975506,15.800566822,10.273784865
040,2,3,17,Illinois,12813469,12790357,12690341,12582515,12549689,-23112,-100016,-107826,-32826,33452,131888,129614,127235,35296,128385,127064,116782,-1844,3503,2550,10453,504,11447,31224,40492,-22545,-115656,-142403,-83839,-22041,-104209,-111179,-43347,773,690,803,68,10.351992712,10.257170776,10.125256026,10.077039491,10.055373243,9.2934149349,0.2749532215,0.2017975333,0.8318410912,0.8984840211,2.4709514429,3.222319857,-9.077930283,-11.26924476,-6.671838252,-8.179446262,-8.798293315,-3.449518395
040,2,3,18,Indiana,6785442,6789098,6813798,6832274,6862199,3656,24700,18476,29925,19436,77712,80234,79587,19149,77868,79739,72079,287,-156,495,7508,342,6065,15475,17869,1596,16132,5011,4599,1938,22197,20486,22468,1431,2659,-2505,-51,11.42580227,11.759281352,11.623229313,11.448738563,11.686733003,10.526728557,-0.022936292,0.0725483494,1.0965007562,0.8917218804,2.2680519347,2.6096659579,2.3718478771,0.7344237961,0.6716578287,3.2635697575,3.0024757307,3.2813237866
040,2,4,19,Iowa,3190427,3190904,3197944,3199693,3207004,477,7040,1749,7311,9104,35887,36848,36898,8036,35499,35708,33119,1068,388,1140,3779,199,3701,9355,7112,-1270,1805,-7990,-3603,-1071,5506,1365,3509,480,1146,-756,23,11.234263204,11.519253124,11.518571894,11.112801557,11.162871541,10.338868843,0.1214616469,0.3563815828,1.1797030514,1.158581328,2.9245172866,2.2201767931,0.5650470946,-2.497797234,-1.124760544,1.7236284225,0.426720053,1.0954162496
040,2,4,20,Kansas,2937835,2938124,2937946,2936716,2940546,289,-178,-1230,3830,8510,34168,34547,34768,6984,32824,33274,30329,1526,1344,1273,4439,135,2069,5518,3932,-1920,-4975,-7004,-4574,-1785,-2906,-1486,-642,548,1384,-1017,33,11.629541513,11.761357504,11.831359568,11.172092912,11.327970869,10.320792233,0.4574486009,0.4333866357,1.5105673356,0.704212169,1.8785761632,1.3380380184,-1.693308623,-2.384477609,-1.556507095,-0.989096454,-0.505901446,-0.218469076
040,3,6,21,Kentucky,4506297,4508155,4507600,4511563,4526154,1858,-555,3963,14591,12579,51364,52384,52380,12785,58401,61410,54385,-206,-7037,-9026,-2005,122,1757,4436,7627,1010,3216,9400,8965,1132,4973,13836,16592,932,1509,-847,4,11.394275909,11.616155512,11.591422922,12.955320991,13.617671618,12.035119046,-1.561045082,-2.001516105,-0.443696124,0.3897621442,0.9836832974,1.6878156287,0.7134177892,2.0844506303,1.9839081042,1.1031799334,3.0681339277,3.6717237329
040,3,7,22,Louisiana,4657785,4652022,4627047,4588023,4573749,-5763,-24975,-39024,-14274,13555,57028,56541,56209,14807,56872,56876,50094,-1252,156,-335,6115,193,3183,8225,9274,-5154,-28324,-47539,-29692,-4961,-25141,-39314,-20418,450,10,625,29,12.29175039,12.271420619,12.27033373,12.258126327,12.344127608,10.935439127,0.0336240629,-0.07270699,1.3348946034,0.6860602071,1.7851193751,2.0244991908,-6.104922811,-10.31766443,-6.481715546,-5.418862604,-8.532545059,-4.457216355
040,1,1,23,Maine,1363177,1364517,1378787,1389338,1395722,1340,14270,10551,6384,2997,11590,12009,11945,3704,16116,17977,16998,-707,-4526,-5968,-5053,58,1012,2504,2209,1803,17938,13861,9216,1861,18950,16365,11425,186,-154,154,12,8.4496650754,8.6766312937,8.5779121455,11.749335837,12.988575299,12.206559284,-3.299670762,-4.311944005,-3.628647139,0.7377964673,1.8091668548,1.5863213001,13.077661098,10.014721156,6.618169806,13.815457565,11.823888011,8.2044911061
040,3,5,24,Maryland,6177253,6173689,6175045,6163981,6180253,-3564,1356,-11064,16272,17156,67431,68904,67969,16929,58995,57559,53770,227,8436,11345,14199,508,9041,23536,32977,-5257,-17683,-45734,-30905,-4749,-8642,-22198,2072,958,1562,-211,1,10.921119525,11.16846662,11.012266942,9.5548256202,9.3295856577,8.7117596766,1.3662939051,1.8388809619,2.3005072652,1.4642796581,3.8148878202,5.342899365,-2.863937307,-7.412902769,-5.007196072,-1.399657649,-3.598014949,0.3357032927
040,1,1,25,Massachusetts,7032933,6997713,6991951,6982740,7001399,-35220,-5762,-9211,18659,17113,66441,69069,68387,22133,61652,63566,61404,-5020,4789,5503,6983,908,16477,42932,50647,-27235,-26269,-56813,-39149,-26327,-9792,-13881,11498,-3873,-759,-833,178,9.4985840975,9.8848697263,9.7806522089,8.8139357743,9.0973031175,8.7819493213,0.6846483232,0.7875666088,0.9987028876,2.3555962459,6.1442503451,7.2434920734,-3.755486908,-8.130841677,-5.599057618,-1.399890662,-1.986591331,1.6444344553
040,2,3,26,Michigan,10077674,10070627,10038117,10033281,10037261,-7047,-32510,-4836,3980,26588,102799,104411,101911,31057,115214,117927,105941,-4469,-12415,-13516,-4030,409,7044,18766,22817,-4859,-29881,-8588,-15051,-4450,-22837,10178,7766,1872,2742,-1498,244,10.22430839,10.403958907,10.155281307,11.459094611,11.750750994,10.556864882,-1.23478622,-1.346792087,-0.401583575,0.700590748,1.8699245563,2.2736805015,-2.971940963,-0.855745076,-1.49981002,-2.271350215,1.0141794807,0.7738704814
040,2,4,27,Minnesota,5706804,5710578,5717968,5714300,5737915,3774,7390,-3668,23615,16461,63012,64630,63754,12746,51396,53436,49911,3715,11616,11194,13843,295,5523,14231,14575,-1510,-10887,-28893,-4686,-1215,-5364,-14662,9889,1274,1138,-200,-117,11.027124535,11.306592883,11.133916015,8.9943200124,9.3482763,8.7163924184,2.032804523,1.9583165825,2.417523597,0.9665271505,2.4896197325,2.5453591292,-1.905229239,-5.054640077,-0.818356973,-0.938702089,-2.565020344,1.7270021564
040,3,6,28,Mississippi,2961306,2958409,2949582,2938928,2939690,-2897,-8827,-10654,762,8503,35004,34786,34628,9676,41703,40733,36032,-1173,-6699,-5947,-1404,58,627,1555,4800,-2122,-3456,-5752,-2614,-2064,-2829,-4197,2186,340,701,-510,-20,11.84971338,11.814873372,11.781000228,14.117489346,13.834739179,12.258663516,-2.267775966,-2.019865806,-0.477663288,0.2122548934,0.5281471883,1.6330368804,-1.169940848,-1.95363513,-0.889324668,-0.957685954,-1.425487942,0.7437122126
040,2,4,29,Missouri,6154889,6154426,6170393,6177168,6196156,-463,15967,6775,18988,17239,68820,68857,68334,16745,75365,75735,68389,494,-6545,-6878,-55,270,3862,10127,7852,-1291,16811,4614,11171,-1021,20673,14741,19023,64,1839,-1088,20,11.167709643,11.153133805,11.045374711,12.229794206,12.267199976,11.054264804,-1.062084563,-1.114066171,-0.008890093,0.6267029155,1.6403239474,1.2691819918,2.7279913806,0.7473540726,1.8056586896,3.3546942961,2.38767802,3.0748406815
040,4,8,30,Montana,1084244,1087211,1106366,1122878,1132812,2967,19155,16512,9934,2812,10841,11219,11206,2518,12151,12896,11377,294,-1310,-1677,-171,44,712,1793,609,2746,20376,15837,9485,2790,21088,17630,10094,-117,-623,559,11,9.8843122443,10.065295679,9.9357624496,11.078708429,11.569841614,10.087379028,-1.194396185,-1.504545936,-0.151616579,0.6491680028,1.6086170917,0.5399678147,18.577875315,14.208404284,8.4098435512,19.227043318,15.817021376,8.9498113659
040,2,4,31,Nebraska,1961965,1963273,1964253,1968060,1978379,1308,980,3807,10319,6046,24410,24174,24195,4462,19570,19473,18496,1584,4840,4701,5699,93,1580,4042,5441,-778,-6037,-4367,-834,-685,-4457,-325,4607,409,597,-569,13,12.430216885,12.295053827,12.261687055,9.9655610173,9.904094613,9.3735136917,2.4646558673,2.3909592141,2.8881733634,0.8045777418,2.0557875225,2.7574225777,-3.074199891,-2.221084639,-0.422659517,-2.269622149,-0.165297116,2.3347630611
040,4,8,32,Nevada,3104617,3115840,3146632,3177421,3194176,11223,30792,30789,16755,8167,33361,33542,33055,7009,32390,33435,29322,1158,971,107,3733,137,3612,10179,4266,10289,25387,20526,8642,10426,28999,30705,12908,-361,822,-23,114,10.654259213,10.607754236,10.375734686,10.344158026,10.573915177,9.2039719398,0.3101011869,0.0338390586,1.1717627465,1.1535380917,3.2191381065,1.3390677408,8.1076610003,6.4914066976,2.7126637168,9.261199092,9.7105448041,4.0517314576
040,1,1,33,New Hampshire,1377524,1378702,1387494,1399003,1402054,1178,8792,11509,3051,2994,12044,12332,12155,3481,13709,14674,14264,-487,-1665,-2342,-2109,88,1542,3834,859,1272,8461,10118,4298,1360,10003,13952,5157,305,454,-101,3,8.7079874311,8.8512566136,8.678866585,9.9118066833,10.532220203,10.184726694,-1.203819252,-1.68096359,-1.505860109,1.1148884605,2.7518421875,0.6133398928,6.1174262417,7.2621646461,3.0688415123,7.2323147022,10.014006834,3.6821814051
040,1,2,34,New Jersey,9289039,9272392,9269175,9260817,9290841,-16647,-3217,-8358,30024,24722,98001,102468,102055,33966,83971,82566,76563,-9244,14030,19902,25492,901,14745,38635,49298,-9361,-33561,-65605,-44666,-8460,-18816,-26970,4632,1057,1569,-1290,-100,10.570951204,11.059691769,11.00225112,9.0575947545,8.9116066537,8.2540331436,1.5133564493,2.1480851152,2.748217976,1.5904804594,4.1699964037,5.3146732222,-3.62008238,-7.080952868,-4.815310847,-2.029601921,-2.910956465,0.4993623751
040,4,8,35,New Mexico,2117525,2118488,2116950,2113476,2114371,963,-1538,-3474,895,5327,21433,21151,20728,5523,24640,25470,22344,-196,-3207,-4319,-1616,158,2259,5839,3642,702,-1206,-4496,-1088,860,1053,1343,2554,299,616,-498,-43,10.120795063,9.9994657748,9.805463632,11.635160283,12.041340517,10.569918921,-1.51436522,-2.041874743,-0.764455289,1.0667137614,2.7604784955,1.7228627242,-0.569480653,-2.125554259,-0.514682769,0.4972331079,0.6349242369,1.2081799554
040,1,2,36,New York,20202320,20104710,19854526,19673200,19571216,-97610,-250184,-181326,-101984,53056,205414,210106,207450,72698,177088,176382,165914,-19642,28326,33724,41536,1343,28769,77285,73867,-72398,-295159,-298341,-216778,-71055,-266390,-221056,-142911,-6913,-12120,6006,-609,10.281177548,10.630816455,10.572204718,8.8634327243,8.9244698772,8.455419492,1.4177448237,1.7063465781,2.1167852262,1.4399174198,3.9104197393,3.7644591271,-14.77300517,-15.09527768,-11.04758445,-13.33308775,-11.18485794,-7.283125324
040,3,5,37,North Carolina,10439459,10453812,10567100,10695965,10835491,14353,113288,128865,139526,28675,116747,121639,121148,25861,115480,117926,108491,2814,1267,3713,12657,679,9920,26184,29448,12492,101909,98524,97264,13171,111829,124708,126712,-1632,192,444,157,11.107700751,11.441342064,11.2531173,10.987154125,11.092097964,10.077442046,0.1205466252,0.3492441,1.1756752539,0.9438220378,2.4628622449,2.735346834,9.6959637146,9.2671493973,9.0345957096,10.639785752,11.730011642,11.769942544
040,2,4,38,North Dakota,779079,779563,777982,778912,783926,484,-1581,930,5014,2563,10019,9839,9649,1751,7766,7390,6945,812,2253,2449,2704,29,453,1260,2298,-448,-4008,-2727,-9,-419,-3555,-1467,2289,91,-279,-52,21,12.865117862,12.63926767,12.34804887,9.9721035347,9.493260299,8.8876774176,2.893014327,3.1460073711,3.4603714524,0.5816846383,1.618607304,2.9408038453,-5.146560774,-3.503128665,-0.011517509,-4.564876135,-1.884521361,2.9292863368
040,2,3,39,Ohio,11799331,11798292,11765227,11759697,11785935,-1039,-33065,-5530,26238,32340,128271,128796,128826,33762,146812,149079,131288,-1422,-18541,-20283,-2462,518,9280,23737,28081,-2867,-27624,-4862,637,-2349,-18344,18875,28718,2732,3820,-4122,-18,10.8872533,10.949748446,10.942666563,12.460957126,12.674132337,11.1517924,-1.573703826,-1.724383892,-0.209125837,0.7876582441,2.0180298988,2.3852407105,-2.344641308,-0.413348838,0.0541077003,-1.556983064,1.6046810608,2.4393484108
