"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Advantage Orthopedic & Sports Medicine, LLP","OR","Healthcare Provider","1937","07/29/2024","Hacking/IT Incident","Network Server","No",""
"United of Omaha Life Insurance Company","NE","Health Plan","107894","07/26/2024","Hacking/IT Incident","Email","No",""
"University of Alabama at Birmingham School of Nursing","AL","Healthcare Provider","1655","07/26/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"South Western Communications, Inc.","IN","Health Plan","1115","07/26/2024","Hacking/IT Incident","Network Server","No",""
"NeighborHealth","MA","Healthcare Provider","526","07/26/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Surgery Center of Mid Florida","FL","Healthcare Provider","48684","07/24/2024","Hacking/IT Incident","Network Server","No",""
"AMERICAN CLINICAL SOLUTIONS, LLC","FL","Healthcare Provider","300000","07/24/2024","Hacking/IT Incident","Network Server","No",""
"Sutton Dental Arts","OR","Healthcare Provider","4109","07/22/2024","Hacking/IT Incident","Network Server","No",""
"Allcare Medical Management Incorporated","CA","Business Associate","16378","07/22/2024","Hacking/IT Incident","Email","Yes",""
"EMS Department for the Kansas City, Kansas Fire Department   ","KS","Healthcare Provider","501","07/20/2024","Hacking/IT Incident","Network Server","No",""
"Barrett Eye Care","IN","Healthcare Provider","1345","07/19/2024","Hacking/IT Incident","Network Server","No",""
"Arisa Health Incorporated","AR","Healthcare Provider","375436","07/19/2024","Hacking/IT Incident","Network Server","No",""
"Sun City Pediatrics, PA","TX","Healthcare Provider","4500","07/19/2024","Hacking/IT Incident","Network Server","No",""
"Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network","NH","Healthcare Provider","501","07/19/2024","Hacking/IT Incident","Network Server","No",""
"Franklin County, Kansas","KS","Healthcare Provider","501","07/19/2024","Hacking/IT Incident","Network Server","No",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","56953","07/19/2024","Hacking/IT Incident","Email","No",""
"Change Healthcare, Inc.","MN","Business Associate","500","07/19/2024","Hacking/IT Incident","Network Server","Yes",""
"Kaiser Foundation Hospitals, Northern California and The Permanente Medical Group, Inc. ","CA","Healthcare Provider","3435","07/15/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Hospital Auxilio Mutuo ","","Healthcare Provider","500","07/13/2024","Hacking/IT Incident","Network Server","No",""
"Fairfax Radiological Consultants ","VA","Healthcare Provider","3512","07/12/2024","Hacking/IT Incident","Network Server","No",""
"Aveanna Healthcare, LLC","GA","Healthcare Provider","10482","07/12/2024","Unauthorized Access/Disclosure","Email","No",""
"New Jersey Oral & Maxillofacial Surgery ","NJ","Healthcare Provider","74413","07/12/2024","Hacking/IT Incident","Network Server","No",""
"Family Dynamics Counseling Services, Inc. ","WA","Healthcare Provider","4373","07/11/2024","Hacking/IT Incident","Network Server","No",""
"Janna Pharmacy LLC","CA","Healthcare Provider","26000","07/10/2024","Unauthorized Access/Disclosure","Email","No",""
"Meridian Internal Medicine, P.A.","NC","Healthcare Provider","2656","07/10/2024","Hacking/IT Incident","Network Server","No",""
"Smith, Gambrell & Russell LLP","GA","Business Associate","3370","07/09/2024","Hacking/IT Incident","Network Server","Yes",""
"The Medibase Group, Inc.  ","GA","Business Associate","35106","07/05/2024","Hacking/IT Incident","Network Server","Yes",""
"Butler Health Plan, SW Division of OHI","OH","Health Plan","5911","07/05/2024","Hacking/IT Incident","Network Server","Yes",""
"School Employees' Benefit Trust","IN","Health Plan","1371","07/05/2024","Hacking/IT Incident","Network Server","Yes",""
"Palomar Health Medical Group","CA","Healthcare Provider","501","07/03/2024","Hacking/IT Incident","Network Server","No",""
"Sheet Metal Workers Local Union #83 Insurance Fund and Annuity Fund","NY","Health Plan","2186","07/03/2024","Hacking/IT Incident","Email","No",""
"Ascension Health","MO","Healthcare Provider","500","07/03/2024","Hacking/IT Incident","Network Server","No",""
"Patented Acquisition Corporation","OH","Business Associate","12787","07/03/2024","Hacking/IT Incident","Network Server","Yes",""
"Aultman Hospital","OH","Healthcare Provider","6890","07/03/2024","Hacking/IT Incident","Email","No",""
"DaVita Inc.","CO","Healthcare Provider","67443","07/03/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Maryville, Inc.","NJ","Healthcare Provider","501","07/03/2024","Hacking/IT Incident","Email","No",""
"Atlanta Perinatal Consultants, LLP","GA","Healthcare Provider","1508","07/02/2024","Hacking/IT Incident","Network Server","Yes",""
"Marana Health Center, Inc.","AZ","Health Plan","566","07/02/2024","Unauthorized Access/Disclosure","Email","No",""
"Core Dental Health","TN","Healthcare Provider","2349","07/01/2024","Hacking/IT Incident","Email, Network Server","No",""
"AmeriHealth Caritas Delaware","DE","Health Plan","2823","07/01/2024","Hacking/IT Incident","Network Server","Yes",""
"Human Technology Inc., and its affiliates ","TN","Healthcare Provider","24580","07/01/2024","Hacking/IT Incident","Network Server","No",""
"SkinCure Oncology","IL","Business Associate","13434","06/28/2024","Hacking/IT Incident","Email","Yes",""
"Midwest Covenant Home","NE","Healthcare Provider","500","06/28/2024","Hacking/IT Incident","Network Server","No",""
"Mass General Brigham Health Plan","MA","Health Plan","3659","06/28/2024","Unauthorized Access/Disclosure","Other","No",""
"Mass General Brigham Incorporated ","MA","Healthcare Provider","655","06/28/2024","Unauthorized Access/Disclosure","Electronic Medical Record, Other","No",""
"Samaritan Health Services, Inc.","OR","Healthcare Provider","1296","06/27/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Ann & Robert H. Lurie Children's Hospital of Chicago","IL","Healthcare Provider","775860","06/27/2024","Hacking/IT Incident","Network Server","No",""
"Mayfield Dental Arts LLC","OH","Healthcare Provider","3318","06/26/2024","Theft","Laptop","No",""
"Providence Mission Heritage Endocrinology","CA","Healthcare Provider","2000","06/26/2024","Unauthorized Access/Disclosure","Desktop Computer","No",""
"Kairos Health Arizona, Inc.","AZ","Business Associate","14364","06/26/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Memorial Sloan Kettering Cancer Center","NY","Healthcare Provider","12274","06/25/2024","Hacking/IT Incident","Network Server","No",""
"The Mount Kisco Surgery Center LLC d/b/a The Ambulatory Surgery Center of Westchester","NY","Healthcare Provider","22139","06/25/2024","Hacking/IT Incident","Email","No",""
"MD Now Medical Centers, Inc. ","FL","Healthcare Provider","500","06/25/2024","Hacking/IT Incident","Network Server","No",""
"Geisinger","PA","Healthcare Provider","1276026","06/21/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Pinnacle Orthopaedics & Sports Medicine Specialists LLC","GA","Healthcare Provider","1100","06/21/2024","Hacking/IT Incident","Network Server","No",""
"Altoona Logan Township Mobile Medical Emergency Department Authority","PA","Healthcare Provider","6169","06/21/2024","Hacking/IT Incident","Network Server","No",""
"Texas Retina Associates","TX","Healthcare Provider","312867","06/21/2024","Hacking/IT Incident","Network Server","No",""
"The Lash Group, LLC","PA","Business Associate","15196","06/21/2024","Hacking/IT Incident","Network Server","Yes",""
"Aultman Hospital","OH","Healthcare Provider","500","06/21/2024","Hacking/IT Incident","Email","No",""
"Wisconsin Department of Health Services ","WI","Healthcare Provider","19150","06/21/2024","Hacking/IT Incident","Network Server","Yes",""
"Mobile Medical Response, Inc.","MI","Healthcare Provider","700","06/21/2024","Theft","Paper/Films","Yes",""
"County of Los Angeles Department of Health Services","CA","Healthcare Provider","41444","06/21/2024","Hacking/IT Incident","Email","No",""
"Ambulnz Holdings, LLC","NY","Healthcare Provider","4742","06/21/2024","Hacking/IT Incident","Network Server","No",""
"Carroll County Memorial Hospital","MO","Healthcare Provider","7021","06/18/2024","Hacking/IT Incident","Email","No",""
"Zwanger-Pesiri Radiology","NY","Healthcare Provider","985","06/18/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Radiology and Imaging Specialists","FL","Healthcare Provider","37210","06/17/2024","Hacking/IT Incident","Email","No",""
"OB GYN Specialists of Lima Inc","OH","Healthcare Provider","1241","06/17/2024","Improper Disposal","Paper/Films","No",""
"Kaiser Foundation Health Plan of Northwest ","OR","Health Plan","578","06/14/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Neurobehavioral Medicine Consultants, P.C.","OH","Healthcare Provider","18182","06/14/2024","Hacking/IT Incident","Network Server","No",""
"Walmart Inc.","AR","Healthcare Provider","1267","06/14/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Consulting Radiologists LTD.","MN","Healthcare Provider","583824","06/14/2024","Hacking/IT Incident","Network Server","No",""
"Heart South Cardiovascular Group","AL","Healthcare Provider","501","06/13/2024","Hacking/IT Incident","Network Server","No",""
"Aptihealth, Inc.","NY","Healthcare Provider","19805","06/12/2024","Hacking/IT Incident","Network Server","Yes",""
"Benefit Management LLC","KS","Business Associate","6272","06/12/2024","Hacking/IT Incident","Email, Network Server","Yes",""
"IBEW LOCAL 236 WELFARE FUND","CT","Health Plan","3217","06/11/2024","Hacking/IT Incident","Network Server","Yes",""
"WAREHOUSE EMPLOYEES LOCAL 169 CONTRIBUTING EMPLOYERS HEALTH & WELFARE FUND","PA","Health Plan","1061","06/11/2024","Hacking/IT Incident","Network Server","Yes",""
"ASBESTOS WORKERS LOCAL 42 WELFARE PLAN","GA","Health Plan","520","06/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Signature Performance, Inc.","NE","Business Associate","106540","06/10/2024","Hacking/IT Incident","Network Server","Yes",""
"Looking Glass Counseling","MA","Healthcare Provider","2739","06/10/2024","Unauthorized Access/Disclosure","Network Server","No",""
"CRG Lynwood, LLC, d/b/a Lynwood Manor ","MI","Healthcare Provider","6566","06/10/2024","Hacking/IT Incident","Network Server","No",""
"Best Health Physical Therapy, LLC        ","CT","Healthcare Provider","3764","06/06/2024","Hacking/IT Incident","Network Server, Other","No",""
"IACT Health","GA","Healthcare Provider","676","06/06/2024","Hacking/IT Incident","Network Server","Yes",""
"Insurance ACE/Humana Inc.","KY","Health Plan","15003","06/05/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Panorama Eyecare","CO","Healthcare Provider","377911","06/05/2024","Hacking/IT Incident","Network Server","No",""
"Angels Neurological Centers, P.C.","MA","Healthcare Provider","934","06/05/2024","Hacking/IT Incident","Electronic Medical Record","No",""
"Financial Business and Consumer Solutions, Inc.","PA","Business Associate","117567","06/04/2024","Hacking/IT Incident","Network Server","Yes",""
"Wilson & Company, Inc., Engineers & Architects Health and Welfare Benefit Plan","NM","Health Plan","1867","06/04/2024","Hacking/IT Incident","Network Server","No",""
"Woodfords Family Services ","ME","Healthcare Provider","500","06/03/2024","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Network Server","No",""
"Mending Minds LLC dba Walnut Creek Psychiatry","IA","Healthcare Provider","733","06/01/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Adventist Health Tulare","CA","Healthcare Provider","70802","05/31/2024","Hacking/IT Incident","Network Server","Yes",""
"Delta Specialty Hospital","TN","Healthcare Provider","500","05/31/2024","Hacking/IT Incident","Email","No",""
"Crestwyn Behavioral Health Hospital, Inc.","TN","Healthcare Provider","500","05/31/2024","Hacking/IT Incident","Email","No",""
"Easterseals Central Illinois","IL","Healthcare Provider","500","05/31/2024","Hacking/IT Incident","Network Server","No",""
"AmerisourceBergen Specialty Group, LLC","PA","Healthcare Provider","3102","05/31/2024","Hacking/IT Incident","Network Server","No",""
"FC Compassus, LLC ","TN","Healthcare Provider","1383","05/31/2024","Hacking/IT Incident","Email","No",""
"Lakeview Health Systems, LLC","FL","Healthcare Provider","10772","05/29/2024","Hacking/IT Incident","Network Server","No",""
"Orchard Park Fire District EMS","NY","Healthcare Provider","2089","05/29/2024","Hacking/IT Incident","Email","No",""
"Fora Health, Inc.","OR","Healthcare Provider","1568","05/28/2024","Hacking/IT Incident","Email","No",""
"Florida Digestive Health Specialists, LLP","FL","Healthcare Provider","3205","05/27/2024","Hacking/IT Incident","Network Server","No",""
"iCircle Services of the Finger Lakes, Inc.","NY","Health Plan","3414","05/24/2024","Hacking/IT Incident","Email","No",""
"Montefiore Einstein Advance Care","NY","Healthcare Provider","2356","05/24/2024","Hacking/IT Incident","Network Server","No",""
"AmerisourceBergen Specialty Group, LLC","PA","Healthcare Provider","252214","05/24/2024","Hacking/IT Incident","Network Server","No",""
"A&A Services d/b/a Sav-Rx","NE","Business Associate","2812336","05/24/2024","Hacking/IT Incident","Network Server","Yes",""
"Moffitt Cancer Center and Research Institute","FL","Healthcare Provider","756","05/24/2024","Unauthorized Access/Disclosure","Other","No",""
"City of St. Cloud","FL","Health Plan","501","05/24/2024","Hacking/IT Incident","Network Server","No",""
"University of Chicago Medical Center","IL","Healthcare Provider","10332","05/24/2024","Hacking/IT Incident","Email","No",""
"ALN Medical Management, LLC","NE","Business Associate","501","05/23/2024","Hacking/IT Incident","Network Server","Yes",""
"Summit Healthcare Regional Medical Center","AZ","Healthcare Provider","905","05/23/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Trionfo Solutions, LLC","IL","Business Associate","81588","05/22/2024","Hacking/IT Incident","Network Server","Yes",""
"McLean Hospital","MA","Healthcare Provider","2231","05/21/2024","Unauthorized Access/Disclosure","Email","No",""
"County of Los Angeles Department of Mental Health ","CA","Healthcare Provider","1598","05/20/2024","Hacking/IT Incident","Network Server","No",""
"Multnomah County Health Department","OR","Healthcare Provider","1092","05/20/2024","Unauthorized Access/Disclosure","Laptop","No",""
"Omni Healthcare Financial Holdings","NC","Business Associate","16852","05/18/2024","Hacking/IT Incident","Other","Yes",""
"El Centro Del Barrio d/b/a CentroMed","TX","Healthcare Provider","400000","05/17/2024","Hacking/IT Incident","Network Server","No",""
"Call 4 Health, Inc.","FL","Business Associate","10434","05/17/2024","Hacking/IT Incident","Network Server","Yes",""
"Victoria Eye Center/Victoria Surgery Center/Victoria Vision Center","TX","Healthcare Provider","80000","05/17/2024","Hacking/IT Incident","Network Server","No",""
"Brockton Area Multi Services, Inc.","MA","Healthcare Provider","21537","05/16/2024","Hacking/IT Incident","Network Server","No",""
"Pope & Conner Consulting, Inc.","WI","Business Associate","1035","05/15/2024","Hacking/IT Incident","Email","Yes",""
"Tobii Dynavox","PA","Healthcare Provider","1098","05/14/2024","Hacking/IT Incident","Email","No",""
"Hypertension-Nephrology Associates, P.C. ","PA","Healthcare Provider","39491","05/14/2024","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Badalamenti-Ferlito Orthodontics","MI","Healthcare Provider","1427","05/14/2024","Unauthorized Access/Disclosure","Desktop Computer","No",""
"TimeDoc, Inc","IL","Business Associate","1880","05/13/2024","Theft","Laptop","Yes",""
"Superior Air-Ground Ambulance Service, Inc. ","IL","Healthcare Provider","858238","05/10/2024","Hacking/IT Incident","Network Server","No",""
"Children's Health Care","MN","Healthcare Provider","7260","05/10/2024","Hacking/IT Incident","Email","No",""
"Precision Medical Products Inc.","CA","Healthcare Clearing House","1094","05/09/2024","Hacking/IT Incident","Email","No",""
"Texas Panhandle Centers","TX","Healthcare Provider","16394","05/09/2024","Hacking/IT Incident","Network Server","No",""
"WebTPA Employer Services, LLC (“WebTPA”)","TX","Business Associate","2518533","05/08/2024","Hacking/IT Incident","Network Server","Yes",""
"1st Choice Home Care","AR","Healthcare Provider","2700","05/08/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Winter Haven Hospital","FL","Healthcare Provider","2101","05/08/2024","Unauthorized Access/Disclosure","Email","No",""
"Delta Specialty Hospital","TN","Healthcare Provider","1019","05/08/2024","Unauthorized Access/Disclosure","Email","No",""
"The Kennedy Collective","CT","Healthcare Provider","851","05/07/2024","Hacking/IT Incident","Email","No",""
"Allina Health System","MN","Healthcare Provider","715","05/06/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Kenneth Young Center","IL","Healthcare Provider","501","05/06/2024","Hacking/IT Incident","Network Server","No",""
"Columbia University Irving Medical Center","NY","Healthcare Provider","29629","05/06/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Redwood Coast Regional Center","CA","Healthcare Provider","500","05/03/2024","Hacking/IT Incident","Network Server","No",""
"Panoramic Health","AZ","Business Associate","5445","05/03/2024","Hacking/IT Incident","Email","Yes",""
"Affiliated Dermatologists and Dermatologic Surgeons, P.A.","NJ","Healthcare Provider","380000","05/03/2024","Hacking/IT Incident","Network Server","No",""
"Aetna ACE","CT","Health Plan","9191","05/03/2024","Hacking/IT Incident","Network Server","Yes",""
"MedStar Health, Inc.","MD","Healthcare Provider","183079","05/03/2024","Hacking/IT Incident","Email","No",""
"Grayson & Associates","AL","Healthcare Provider","573","05/03/2024","Hacking/IT Incident","Desktop Computer","No",""
"Marpai Health","NY","Healthcare Provider","1129","05/02/2024","Hacking/IT Incident","Email","No",""
"United Seating and Mobility, L.L.C., d/b/a Numotion","TN","Healthcare Provider","602265","05/01/2024","Hacking/IT Incident","Network Server","No",""
"UnitedHealthcare Insurance Company","CT","Business Associate","16665","05/01/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Merchants Benefit Administration","AZ","Health Plan","767","04/30/2024","Hacking/IT Incident","Email","No",""
"AMERICAN RENAL MANAGEMENT","TN","Business Associate","501","04/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Inland Physicians Billing Services","CA","Healthcare Clearing House","77434","04/27/2024","Hacking/IT Incident","Network Server","No",""
"Signature Healthcare Services LLC","CA","Business Associate","4487","04/27/2024","Hacking/IT Incident","Network Server","Yes",""
"Guardant Health, Inc.","CA","Healthcare Provider","9309","04/26/2024","Unauthorized Access/Disclosure","Other","No",""
"LivaNova USA, Inc.","TX","Business Associate","180000","04/26/2024","Hacking/IT Incident","Network Server","Yes",""
"Forefront Dermatology, S.C. d/b/a Premier Dermatology","IL","Healthcare Provider","500","04/26/2024","Hacking/IT Incident","Email","No",""
"OrthoConnecticut PLLC","CT","Healthcare Provider","118141","04/26/2024","Hacking/IT Incident","Network Server","No",""
"Aspire Health Alliance","MA","Healthcare Provider","17490","04/26/2024","Hacking/IT Incident","Network Server","No",""
"Justice Resource Institute","MA","Healthcare Provider","23118","04/26/2024","Hacking/IT Incident","Network Server","No",""
"Empath-Stratum Inc. doing business as  Empath Health","FL","Healthcare Provider","5545","04/25/2024","Hacking/IT Incident","Email","No",""
"Therapeutic Health Services ","WA","Healthcare Provider","501","04/25/2024","Hacking/IT Incident","Network Server","No",""
"County of Los Angeles Departments of Health Services and Public Health","CA","Healthcare Provider","252856","04/25/2024","Hacking/IT Incident","Email","No",""
"Moffitt Cancer Center and Research Institute","FL","Healthcare Provider","26577","04/24/2024","Hacking/IT Incident","Network Server","Yes",""
"Cape Fear Aesthetics","NC","Healthcare Provider","1165","04/23/2024","Hacking/IT Incident","Network Server","No",""
"Blackstone Valley Community Health Care","RI","Healthcare Provider","34518","04/22/2024","Hacking/IT Incident","Network Server","No",""
"The Georgia Institute for Plastic Surgery","GA","Healthcare Provider","8111","04/22/2024","Hacking/IT Incident","Network Server","No",""
"The Prudential Insurance Company of America","NJ","Health Plan","36092","04/22/2024","Hacking/IT Incident","Network Server","No",""
"Bluebonnet Trails Community Services","TX","Healthcare Provider","76165","04/22/2024","Hacking/IT Incident","Email","No",""
"South Texas Oncology and Hematology, PLLC","TX","Healthcare Provider","175195","04/19/2024","Hacking/IT Incident","Desktop Computer, Network Server","No",""
"Advarra, Inc.","MD","Business Associate","596","04/19/2024","Hacking/IT Incident","Network Server","Yes",""
"Bridgeway Center, Inc.","FL","Healthcare Provider","36353","04/19/2024","Hacking/IT Incident","Network Server","No",""
"Green Diamond Resource Company","WA","Health Plan","8172","04/19/2024","Hacking/IT Incident","Network Server","No",""
"Montgomery County Board of Developmental Disabilities Services","OH","Business Associate","8819","04/18/2024","Hacking/IT Incident","Network Server","Yes",""
"Tobin, Carberry, O'Malley, Riley & Selinger, P.C.","CT","Business Associate","500","04/17/2024","Hacking/IT Incident","Network Server","Yes",""
"Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators","KY","Healthcare Provider","2282","04/17/2024","Hacking/IT Incident","Email","No",""
"Orthopedic and Fracture Clinic dba West Idaho Orthopedics and Sports Medicine","ID","Healthcare Provider","5000","04/17/2024","Hacking/IT Incident","Network Server","No",""
"Philips Respironics","PA","Business Associate","1338","04/16/2024","Hacking/IT Incident","Network Server","Yes",""
"Philips Respironics","PA","Business Associate","7539","04/16/2024","Hacking/IT Incident","Network Server","Yes",""
"Philips Respironics","PA","Business Associate","5576","04/16/2024","Hacking/IT Incident","Network Server","Yes",""
"Moveable Feast, Inc.","MD","Healthcare Provider","568","04/16/2024","Improper Disposal","Paper/Films","No",""
"Catholic Medical Center","NH","Healthcare Provider","2792","04/15/2024","Hacking/IT Incident","Email","Yes",""
"Kaiser Foundation Health Plan, Inc.","CA","Health Plan","13400000","04/12/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Rebound Orthopedics & Neurosurgery","WA","Healthcare Provider","500","04/10/2024","Hacking/IT Incident","Network Server","No",""
"American Healthcare Systems LLC dba Randolph Health ","NC","Healthcare Provider","899","04/10/2024","Hacking/IT Incident","Email","No",""
"CompuNet Clinical Laboratories","OH","Healthcare Provider","6963","04/10/2024","Unauthorized Access/Disclosure","Other Portable Electronic Device","No",""
"Spurwink Services, Inc.","MS","Healthcare Provider","27332","04/09/2024","Hacking/IT Incident","Network Server","No",""
"The Epilepsy Foundation of Metro New York","NY","Healthcare Provider","3852","04/08/2024","Hacking/IT Incident","Network Server","No",""
"Knowles Smith & Associates, d/b/a Village Family Dental ","NC","Healthcare Provider","240214","04/08/2024","Hacking/IT Incident","Network Server","No",""
"Group Health Cooperative of South Central Wisconsin","WI","Health Plan","533809","04/08/2024","Hacking/IT Incident","Network Server","No",""
"Island Ambulatory Surgery Center, LLC ","NY","Healthcare Provider","7900","04/05/2024","Hacking/IT Incident","Network Server","No",""
"Sleep Management Institute","OH","Healthcare Provider","500","04/05/2024","Hacking/IT Incident","Network Server","No",""
"Gaia Software, LLC","CO","Business Associate","56676","04/05/2024","Hacking/IT Incident","Network Server","Yes",""
"BlueCross BlueShield of Tennessee, Inc. ","TN","Business Associate","550","04/05/2024","Unauthorized Access/Disclosure","Other","Yes",""
"Jackson Medical Center, LLC","AL","Healthcare Provider","509","04/05/2024","Hacking/IT Incident","Network Server","No",""
"ZSFG Hospital and Trauma Center","CA","Healthcare Provider","755","04/04/2024","Loss","Paper/Films","No",""
"Politzer and Durocher, PLC d/b/a Optometric Physicians of Middle Tennessee","TN","Healthcare Provider","29000","04/04/2024","Hacking/IT Incident","Network Server","No",""
"Cattaraugus-Allegany Board of Cooperative Education Services","NY","Business Associate","15203","04/04/2024","Hacking/IT Incident","Network Server","Yes",""
"UNC Hospitals","NC","Healthcare Provider","3142","04/02/2024","Hacking/IT Incident","Email","No",""
"Advanced Care Hospital of Montana","MT","Healthcare Provider","2331","04/02/2024","Hacking/IT Incident","Network Server","Yes",""
"Continuum Health Alliance, LLC","NJ","Business Associate","1328","04/01/2024","Hacking/IT Incident","Network Server","Yes",""
"Rutgers Robert Wood Johnson Medical School","NJ","Healthcare Provider","543","04/01/2024","Unauthorized Access/Disclosure","Email","No",""
"University of Tennessee Health Science Center","TN","Healthcare Provider","19353","04/01/2024","Hacking/IT Incident","Network Server","Yes",""
"Otolaryngology Associates, LLC","IN","Healthcare Provider","316802","04/01/2024","Hacking/IT Incident","Network Server","No",""
"Northern Virginia Oral, Maxillofacial & Implant Surgery ","VA","Healthcare Provider","4333","03/29/2024","Hacking/IT Incident","Network Server","No",""
"PRATT MRI LLC","KS","Business Associate","4265","03/29/2024","Loss","Other Portable Electronic Device","Yes",""
"South Texas Rehabilitation Hospital","TX","Healthcare Provider","4130","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Rehabilitation Hospital of Northern Indiana","IN","Healthcare Provider","1643","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Rehabilitation Hospital of Northern Arizona ","AZ","Healthcare Provider","3287","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Mesquite Rehabilitation Institute ","TX","Healthcare Provider","3317","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Northern Utah Rehabilitation Hospital","UT","Healthcare Provider","3477","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Northern Idaho Advanced Care Hospital","ID","Healthcare Provider","5606","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"County of Los Angeles Department of Health Services - Olive View-UCLA Medical Center","CA","Healthcare Provider","3716","03/29/2024","Theft","Paper/Films","No",""
"Mesquite Specialty Hospital ","TX","Healthcare Provider","1244","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Baylor College of Medicine","TX","Healthcare Provider","801","03/29/2024","Unauthorized Access/Disclosure","Laptop","Yes",""
"Laredo Specialty Hospital","TX","Healthcare Provider","1242","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
"Laredo Rehabilitation Hospital","TX","Healthcare Provider","1785","03/29/2024","Hacking/IT Incident","Network Server","Yes",""
